Service_Category,Material_Shape,Is_Fragile,Length_cm,Width_cm,Height_cm,Volume_cm3,Actual_Weight_kg,Density,Target_Divisor
Construction,Irregular,0,50.8,87.3,33.9,150341.08,98.2,0.000653,4500
Solar Services,Box,1,211.1,92.5,4.9,95681.08,20.0,0.000209,3500
Solar Services,Box,1,173.9,103.9,4.7,84920.59,27.6,0.000325,3500
Solar Services,Box,1,176.4,95.8,7.5,126743.4,21.9,0.000173,3500
Solar Services,Box,1,150.3,88.3,4.6,61048.85,28.1,0.00046,3500
Solar Services,Box,1,207.6,82.5,7.0,119889.0,18.2,0.000152,3500
Construction,Irregular,0,73.5,42.2,36.5,113212.05,51.2,0.000452,4500
Interiors,Box,0,84.5,100.0,62.6,528970.0,15.9,3e-05,5000
Construction,Irregular,0,72.8,76.5,38.2,212743.44,92.1,0.000433,4500
Interiors,Box,0,139.1,59.1,86.4,710277.98,46.6,6.6e-05,5000
Interiors,Box,0,166.7,76.1,98.3,1247021.02,32.9,2.6e-05,5000
Construction,Irregular,0,47.5,36.3,41.9,72246.07,75.1,0.00104,4500
Solar Services,Box,1,174.0,90.4,6.5,102242.4,21.4,0.000209,3500
Interiors,Wrapped,1,53.2,94.3,10.6,53177.66,15.3,0.000288,3500
Painting,Cylindrical,0,24.4,36.8,40.6,36455.55,21.0,0.000576,4500
Construction,Irregular,0,83.9,88.2,36.0,266399.28,71.7,0.000269,4500
Construction,Irregular,0,48.8,87.5,26.1,111447.0,80.1,0.000719,4500
Construction,Irregular,0,42.7,47.0,40.9,82082.21,40.9,0.000498,4500
Interiors,Wrapped,1,87.8,89.4,9.2,72213.74,38.3,0.00053,3500
Interiors,Box,0,124.6,72.2,62.5,562257.5,52.1,9.3e-05,5000
Solar Services,Box,1,195.2,94.2,8.3,152619.07,22.3,0.000146,3500
Construction,Irregular,0,55.5,32.2,36.0,64335.6,72.6,0.001128,4500
Interiors,Wrapped,1,86.0,113.1,16.9,164379.54,30.5,0.000186,3500
Painting,Cylindrical,0,30.5,33.3,45.1,45805.81,13.6,0.000297,4500
Painting,Cylindrical,0,37.4,31.3,40.7,47644.23,14.0,0.000294,4500
Solar Services,Box,1,173.6,96.0,4.5,74995.2,24.1,0.000321,3500
Construction,Irregular,0,44.8,49.5,27.0,59875.2,88.4,0.001476,4500
Solar Services,Box,1,206.8,100.1,7.3,151114.96,28.8,0.000191,3500
Solar Services,Box,1,216.4,98.2,7.3,155128.5,26.9,0.000173,3500
Solar Services,Box,1,210.3,84.1,7.9,139721.22,18.3,0.000131,3500
Interiors,Box,0,164.0,99.2,99.5,1618745.6,33.9,2.1e-05,5000
Solar Services,Box,1,184.9,92.3,6.3,107517.5,25.3,0.000235,3500
Construction,Irregular,0,57.2,73.1,40.3,168507.2,61.3,0.000364,4500
Construction,Irregular,0,68.7,85.4,22.4,131420.35,86.8,0.00066,4500
Interiors,Box,0,150.9,60.6,68.1,622743.17,44.5,7.1e-05,5000
Interiors,Wrapped,1,71.8,112.9,7.0,56743.54,35.8,0.000631,3500
Construction,Irregular,0,76.5,32.7,42.4,106065.72,78.2,0.000737,4500
Interiors,Wrapped,1,148.9,60.3,19.5,175084.07,38.2,0.000218,3500
Construction,Irregular,0,48.2,72.0,33.5,116258.4,76.7,0.00066,4500
Solar Services,Box,1,177.3,107.2,4.8,91231.49,19.9,0.000218,3500
Construction,Irregular,0,89.0,57.3,27.9,142281.63,64.3,0.000452,4500
Painting,Cylindrical,0,21.5,24.4,32.9,17259.34,11.1,0.000643,4500
Interiors,Box,0,120.5,56.9,78.6,538916.97,46.4,8.6e-05,5000
Solar Services,Box,1,156.6,92.5,9.9,143406.45,22.1,0.000154,3500
Interiors,Box,0,188.6,83.6,88.7,1398529.35,35.1,2.5e-05,5000
Interiors,Wrapped,1,113.1,120.1,19.9,270307.87,27.4,0.000101,3500
Construction,Irregular,0,59.9,65.3,43.7,170931.24,94.2,0.000551,4500
Painting,Cylindrical,0,20.1,35.9,37.3,26915.31,28.8,0.00107,4500
Interiors,Box,0,96.8,87.1,61.6,519366.85,21.1,4.1e-05,5000
Interiors,Wrapped,1,125.5,70.2,18.9,166510.89,12.2,7.3e-05,3500
Construction,Irregular,0,95.4,69.9,37.2,248066.71,49.2,0.000198,4500
Interiors,Box,0,74.7,69.4,81.1,420437.0,59.3,0.000141,5000
Interiors,Wrapped,1,57.1,88.4,11.8,59562.15,37.3,0.000626,3500
Painting,Cylindrical,0,31.6,32.4,49.5,50680.08,24.3,0.000479,4500
Interiors,Wrapped,1,101.4,99.0,10.8,108416.88,24.8,0.000229,3500
Construction,Irregular,0,40.2,85.1,26.8,91683.34,78.1,0.000852,4500
Solar Services,Box,1,166.7,109.7,8.7,159096.81,26.7,0.000168,3500
Solar Services,Box,1,167.8,85.6,9.6,137891.33,27.0,0.000196,3500
Interiors,Wrapped,1,76.4,84.7,9.1,58886.83,21.7,0.000369,3500
Painting,Cylindrical,0,34.3,30.4,48.5,50571.92,13.6,0.000269,4500
Construction,Irregular,0,73.7,53.7,23.0,91026.87,42.1,0.000463,4500
Interiors,Box,0,139.3,71.3,81.7,811451.75,31.4,3.9e-05,5000
Solar Services,Box,1,174.6,100.2,9.5,166201.74,26.6,0.00016,3500
Painting,Cylindrical,0,36.9,20.9,32.5,25064.32,24.9,0.000993,4500
Painting,Cylindrical,0,25.7,38.9,41.2,41188.88,19.2,0.000466,4500
Construction,Irregular,0,91.4,62.6,34.2,195680.09,81.7,0.000418,4500
Construction,Irregular,0,70.3,42.5,24.4,72901.1,72.0,0.000988,4500
Construction,Irregular,0,97.6,88.8,36.7,318074.5,68.9,0.000217,4500
Construction,Irregular,0,82.9,79.7,42.8,282785.16,92.3,0.000326,4500
Construction,Irregular,0,33.5,31.0,26.6,27624.1,68.0,0.002462,4500
Solar Services,Box,1,216.5,83.5,4.5,81349.88,28.1,0.000345,3500
Interiors,Box,0,67.2,59.4,89.7,358053.7,33.2,9.3e-05,5000
Painting,Cylindrical,0,25.7,28.7,46.1,34002.9,16.6,0.000488,4500
Construction,Irregular,0,88.1,58.9,43.8,227282.14,75.0,0.00033,4500
Interiors,Box,0,64.4,90.0,81.8,474112.8,39.9,8.4e-05,5000
Solar Services,Box,1,174.1,107.1,6.2,115605.88,27.8,0.00024,3500
Interiors,Wrapped,1,66.8,45.4,7.6,23048.67,39.7,0.001722,3500
Interiors,Wrapped,1,133.3,136.3,7.6,138082.8,10.3,7.5e-05,3500
Painting,Cylindrical,0,28.3,25.8,44.3,32345.2,13.9,0.00043,4500
Solar Services,Box,1,173.4,82.5,8.3,118735.65,22.8,0.000192,3500
Interiors,Box,0,66.9,68.6,72.5,332727.15,15.4,4.6e-05,5000
Painting,Cylindrical,0,26.1,35.7,36.3,33823.25,17.2,0.000509,4500
Interiors,Box,0,93.3,59.6,80.6,448190.81,53.3,0.000119,5000
Painting,Cylindrical,0,24.1,28.2,42.8,29087.74,12.0,0.000413,4500
Solar Services,Box,1,166.8,108.6,9.0,163030.32,27.5,0.000169,3500
Painting,Cylindrical,0,34.2,21.1,36.2,26122.64,21.9,0.000838,4500
Interiors,Box,0,134.3,62.9,56.0,473058.32,30.6,6.5e-05,5000
Interiors,Box,0,156.4,86.5,68.4,925356.24,31.4,3.4e-05,5000
Interiors,Box,0,118.0,92.5,92.6,1010729.0,52.0,5.1e-05,5000
Painting,Cylindrical,0,33.4,26.4,39.8,35094.05,11.3,0.000322,4500
Painting,Cylindrical,0,38.2,24.3,36.0,33417.36,29.7,0.000889,4500
Interiors,Wrapped,1,100.3,132.4,10.7,142093.0,14.8,0.000104,3500
Solar Services,Box,1,183.0,103.7,5.7,108169.47,19.5,0.00018,3500
Interiors,Box,0,160.0,50.4,61.4,495129.6,58.9,0.000119,5000
Construction,Irregular,0,78.1,37.9,47.9,141783.52,54.0,0.000381,4500
Solar Services,Box,1,188.0,87.3,4.0,65649.6,26.0,0.000396,3500
Painting,Cylindrical,0,26.2,34.6,31.5,28555.38,28.9,0.001012,4500
Solar Services,Box,1,180.8,107.0,6.3,121877.28,29.7,0.000244,3500
Construction,Irregular,0,46.7,38.7,25.6,46266.62,63.5,0.001372,4500
Construction,Irregular,0,74.9,38.3,46.3,132819.42,43.0,0.000324,4500
Solar Services,Box,1,152.7,81.7,5.2,64873.07,21.9,0.000338,3500
Painting,Cylindrical,0,39.7,23.5,45.0,41982.75,26.6,0.000634,4500
Construction,Irregular,0,66.9,96.4,30.4,196054.46,52.4,0.000267,4500
Interiors,Wrapped,1,132.0,61.5,10.3,83615.4,13.0,0.000155,3500
Interiors,Wrapped,1,87.1,98.1,17.0,145256.67,36.7,0.000253,3500
Interiors,Box,0,63.4,52.9,88.8,297822.77,17.6,5.9e-05,5000
Interiors,Wrapped,1,136.9,131.9,9.1,164319.7,32.5,0.000198,3500
Construction,Irregular,0,57.9,98.1,38.5,218679.61,80.2,0.000367,4500
Solar Services,Box,1,209.6,94.4,9.3,184012.03,28.6,0.000155,3500
Interiors,Box,0,161.9,99.2,93.7,1504866.98,21.2,1.4e-05,5000
Painting,Cylindrical,0,25.1,24.6,39.2,24204.43,10.5,0.000434,4500
Interiors,Wrapped,1,147.1,85.1,14.7,184017.69,20.4,0.000111,3500
Interiors,Wrapped,1,44.7,114.0,15.6,79494.48,39.1,0.000492,3500
Interiors,Wrapped,1,125.1,80.2,16.7,167551.43,37.9,0.000226,3500
Solar Services,Box,1,196.5,91.1,6.4,114567.36,29.9,0.000261,3500
Painting,Cylindrical,0,38.1,39.9,48.7,74033.25,19.9,0.000269,4500
Solar Services,Box,1,155.9,98.7,9.1,140024.7,26.4,0.000189,3500
Interiors,Wrapped,1,96.0,101.1,15.4,149466.24,14.0,9.4e-05,3500
Interiors,Box,0,52.5,88.2,71.0,328765.5,41.3,0.000126,5000
Construction,Irregular,0,61.8,32.1,45.9,91055.5,61.8,0.000679,4500
Interiors,Wrapped,1,107.5,43.6,11.4,53431.8,13.0,0.000243,3500
Painting,Cylindrical,0,23.8,31.4,41.8,31237.98,11.6,0.000371,4500
Construction,Irregular,0,66.0,43.8,43.9,126906.12,46.5,0.000366,4500
Construction,Irregular,0,96.6,45.6,44.0,193818.24,55.9,0.000288,4500
Solar Services,Box,1,210.5,99.1,7.7,160626.23,29.8,0.000186,3500
Interiors,Wrapped,1,92.2,141.5,15.3,199608.39,17.8,8.9e-05,3500
Painting,Cylindrical,0,26.4,33.7,42.4,37722.43,17.0,0.000451,4500
Interiors,Wrapped,1,50.7,139.6,19.3,136600.0,31.8,0.000233,3500
Construction,Irregular,0,35.1,89.8,43.5,137111.13,73.4,0.000535,4500
Interiors,Box,0,159.7,66.5,70.8,751899.54,55.2,7.3e-05,5000
Construction,Irregular,0,61.8,52.9,36.6,119653.45,92.1,0.00077,4500
Painting,Cylindrical,0,36.8,26.2,42.7,41169.63,18.4,0.000447,4500
Solar Services,Box,1,217.9,95.9,9.5,198517.8,19.9,0.0001,3500
Interiors,Box,0,133.5,93.6,97.9,1223319.24,34.4,2.8e-05,5000
Interiors,Box,0,179.0,60.4,56.4,609774.24,38.2,6.3e-05,5000
Interiors,Box,0,177.9,63.2,75.1,844370.33,38.3,4.5e-05,5000
Interiors,Wrapped,1,51.7,52.4,14.6,39552.57,12.6,0.000319,3500
Interiors,Box,0,184.8,71.5,85.3,1127085.96,56.3,5e-05,5000
Solar Services,Box,1,179.8,81.9,8.2,120750.08,20.8,0.000172,3500
Interiors,Box,0,150.8,56.6,79.7,680261.82,34.4,5.1e-05,5000
Interiors,Wrapped,1,43.8,95.8,14.2,59583.77,25.3,0.000425,3500
Interiors,Box,0,188.8,87.1,78.1,1284313.89,31.6,2.5e-05,5000
Painting,Cylindrical,0,29.5,33.2,37.3,36531.62,27.3,0.000747,4500
Painting,Cylindrical,0,34.0,32.6,33.8,37463.92,30.0,0.000801,4500
Interiors,Box,0,94.1,97.3,71.1,650986.62,25.8,4e-05,5000
Interiors,Wrapped,1,95.4,88.9,8.3,70392.8,14.3,0.000203,3500
Solar Services,Box,1,181.1,89.6,4.6,74642.18,26.7,0.000358,3500
Interiors,Box,0,160.6,78.0,75.7,948278.76,17.5,1.8e-05,5000
Construction,Irregular,0,40.1,84.5,41.5,140620.68,94.8,0.000674,4500
Construction,Irregular,0,77.7,81.3,32.9,207829.63,95.4,0.000459,4500
Interiors,Wrapped,1,73.9,130.8,7.2,69596.06,26.0,0.000374,3500
Construction,Irregular,0,80.3,88.2,46.7,330750.88,57.9,0.000175,4500
Painting,Cylindrical,0,27.8,25.4,45.9,32410.91,20.3,0.000626,4500
Interiors,Box,0,103.5,75.9,83.4,655161.21,31.9,4.9e-05,5000
Solar Services,Box,1,202.3,107.3,7.6,164971.6,23.4,0.000142,3500
Interiors,Wrapped,1,124.1,90.2,11.7,130967.69,19.0,0.000145,3500
Interiors,Wrapped,1,75.0,76.7,12.0,69030.0,12.4,0.00018,3500
Interiors,Wrapped,1,130.1,68.4,12.2,108565.85,12.4,0.000114,3500
Solar Services,Box,1,198.7,88.0,6.3,110159.28,27.6,0.000251,3500
Painting,Cylindrical,0,26.5,27.5,32.3,23538.62,24.6,0.001045,4500
Interiors,Box,0,124.3,56.8,72.3,510455.35,48.8,9.6e-05,5000
Interiors,Box,0,159.8,77.9,96.4,1200027.69,57.7,4.8e-05,5000
Interiors,Wrapped,1,55.5,71.7,5.6,22284.36,28.9,0.001297,3500
Painting,Cylindrical,0,29.5,35.0,33.7,34795.25,22.7,0.000652,4500
Painting,Cylindrical,0,28.5,27.8,36.9,29235.87,28.6,0.000978,4500
Solar Services,Box,1,216.8,98.4,4.4,93865.73,18.2,0.000194,3500
Painting,Cylindrical,0,27.9,37.7,30.6,32186.0,18.5,0.000575,4500
Solar Services,Box,1,211.7,98.3,5.4,112374.59,27.1,0.000241,3500
Solar Services,Box,1,203.0,94.8,5.7,109693.08,20.9,0.000191,3500
Solar Services,Box,1,159.1,105.1,7.8,130427.0,20.1,0.000154,3500
Construction,Irregular,0,80.8,99.9,33.8,272830.9,94.5,0.000346,4500
Painting,Cylindrical,0,30.3,39.6,30.6,36716.33,17.7,0.000482,4500
Interiors,Wrapped,1,48.4,137.9,11.2,74752.83,29.4,0.000393,3500
Interiors,Wrapped,1,62.7,107.3,13.1,88133.0,12.7,0.000144,3500
Solar Services,Box,1,176.0,96.0,9.5,160512.0,28.2,0.000176,3500
Interiors,Box,0,166.0,82.3,72.9,995945.22,46.6,4.7e-05,5000
Construction,Irregular,0,51.2,52.0,43.6,116080.64,42.2,0.000364,4500
Construction,Irregular,0,60.7,82.8,43.8,220137.05,44.6,0.000203,4500
Interiors,Wrapped,1,90.6,59.2,12.2,65434.94,17.6,0.000269,3500
Interiors,Wrapped,1,140.3,135.7,17.3,329369.68,12.8,3.9e-05,3500
Solar Services,Box,1,199.1,94.1,5.4,101170.67,24.8,0.000245,3500
Solar Services,Box,1,205.5,97.1,7.6,151650.78,27.5,0.000181,3500
Painting,Cylindrical,0,22.6,26.3,44.9,26687.66,16.9,0.000633,4500
Solar Services,Box,1,180.2,97.5,9.9,173938.05,23.0,0.000132,3500
Interiors,Box,0,57.3,57.6,51.6,170304.77,36.4,0.000214,5000
Construction,Irregular,0,36.7,76.5,30.2,84788.01,49.2,0.00058,4500
Construction,Irregular,0,91.0,81.8,23.6,175673.68,92.0,0.000524,4500
Painting,Cylindrical,0,28.1,24.0,38.4,25896.96,22.4,0.000865,4500
Interiors,Box,0,62.6,65.6,56.5,232020.64,25.1,0.000108,5000
Interiors,Box,0,168.1,55.0,63.4,586164.7,41.2,7e-05,5000
Interiors,Box,0,161.7,75.1,87.3,1060142.39,41.2,3.9e-05,5000
Interiors,Box,0,144.1,77.2,63.1,701957.21,20.3,2.9e-05,5000
Solar Services,Box,1,197.5,94.8,9.9,185357.7,25.2,0.000136,3500
Interiors,Wrapped,1,75.5,116.2,14.9,130719.19,28.3,0.000216,3500
Painting,Cylindrical,0,39.8,36.7,32.9,48055.71,19.5,0.000406,4500
Interiors,Wrapped,1,41.6,98.0,15.7,64005.76,37.1,0.00058,3500
Solar Services,Box,1,194.8,85.5,5.2,86608.08,26.7,0.000308,3500
Construction,Irregular,0,80.4,65.1,46.2,241812.65,88.9,0.000368,4500
Interiors,Wrapped,1,76.9,54.9,8.7,36729.75,17.7,0.000482,3500
Interiors,Box,0,178.8,72.2,56.9,734542.58,55.2,7.5e-05,5000
Painting,Cylindrical,0,30.3,29.4,49.3,43917.43,29.1,0.000663,4500
Painting,Cylindrical,0,30.5,25.2,32.1,24672.06,18.5,0.00075,4500
Solar Services,Box,1,203.8,97.8,8.0,159453.12,22.3,0.00014,3500
Solar Services,Box,1,200.2,82.0,8.5,139539.4,24.9,0.000178,3500
Construction,Irregular,0,44.3,66.6,23.5,69333.93,90.2,0.001301,4500
Interiors,Box,0,149.9,59.4,83.0,739036.98,29.6,4e-05,5000
Construction,Irregular,0,58.0,33.0,45.8,87661.2,55.1,0.000629,4500
Construction,Irregular,0,97.1,52.6,25.7,131261.72,61.4,0.000468,4500
Solar Services,Box,1,173.5,108.9,8.5,160600.28,27.1,0.000169,3500
Construction,Irregular,0,91.2,67.2,41.3,253112.83,40.4,0.00016,4500
Painting,Cylindrical,0,37.7,34.9,31.8,41840.21,13.5,0.000323,4500
Interiors,Box,0,191.1,57.2,57.0,623062.44,56.8,9.1e-05,5000
Solar Services,Box,1,155.4,90.4,4.1,57597.46,20.0,0.000347,3500
Construction,Irregular,0,95.7,58.0,40.3,223689.18,71.1,0.000318,4500
Construction,Irregular,0,65.1,70.0,37.0,168609.0,40.8,0.000242,4500
Interiors,Box,0,80.9,81.2,84.3,553773.44,44.0,7.9e-05,5000
Interiors,Box,0,177.7,54.9,90.1,878991.27,41.4,4.7e-05,5000
Construction,Irregular,0,91.4,58.0,43.4,230072.08,66.7,0.00029,4500
Painting,Cylindrical,0,36.6,21.8,40.1,31994.99,28.0,0.000875,4500
Painting,Cylindrical,0,30.8,30.0,32.5,30030.0,28.2,0.000939,4500
Solar Services,Box,1,200.4,107.8,7.2,155542.46,21.9,0.000141,3500
Solar Services,Box,1,152.7,99.8,4.8,73149.41,26.7,0.000365,3500
Interiors,Box,0,134.1,53.4,55.5,397432.17,38.7,9.7e-05,5000
Painting,Cylindrical,0,32.4,29.2,35.2,33302.02,13.0,0.00039,4500
Interiors,Box,0,133.6,87.6,79.6,931587.46,43.3,4.6e-05,5000
Solar Services,Box,1,159.2,93.1,9.0,133393.68,28.8,0.000216,3500
Construction,Irregular,0,32.1,64.7,49.0,101766.63,78.9,0.000775,4500
Construction,Irregular,0,43.5,57.3,34.3,85494.46,40.3,0.000471,4500
Interiors,Box,0,165.5,55.1,82.1,748674.01,37.1,5e-05,5000
Interiors,Wrapped,1,132.0,107.0,9.0,127116.0,20.2,0.000159,3500
Interiors,Box,0,80.9,93.1,99.1,746400.39,31.3,4.2e-05,5000
Solar Services,Box,1,179.6,99.6,10.0,178881.6,19.8,0.000111,3500
Construction,Irregular,0,95.0,96.9,48.9,450148.95,53.2,0.000118,4500
Painting,Cylindrical,0,35.6,33.4,49.3,58619.67,25.1,0.000428,4500
Solar Services,Box,1,165.9,85.6,6.4,90886.66,21.7,0.000239,3500
Interiors,Box,0,199.4,87.8,76.1,1332307.05,41.6,3.1e-05,5000
Painting,Cylindrical,0,39.3,28.3,47.4,52717.81,10.2,0.000193,4500
Construction,Irregular,0,94.6,65.5,46.9,290606.47,87.7,0.000302,4500
Painting,Cylindrical,0,23.7,20.5,35.0,17004.75,26.9,0.001582,4500
Construction,Irregular,0,66.7,61.8,32.8,135203.57,84.1,0.000622,4500
Painting,Cylindrical,0,22.0,39.8,42.4,37125.44,18.9,0.000509,4500
Interiors,Wrapped,1,125.0,146.0,16.5,301125.0,35.5,0.000118,3500
Interiors,Wrapped,1,111.1,138.6,15.9,244835.51,19.2,7.8e-05,3500
Interiors,Box,0,104.7,86.0,87.6,788767.92,35.3,4.5e-05,5000
Interiors,Box,0,99.3,68.0,94.8,640127.52,46.0,7.2e-05,5000
Painting,Cylindrical,0,39.5,23.0,42.8,38883.8,25.4,0.000653,4500
Interiors,Wrapped,1,50.3,111.0,17.5,97707.75,26.7,0.000273,3500
Solar Services,Box,1,176.9,99.8,7.9,139471.5,22.9,0.000164,3500
Solar Services,Box,1,214.1,104.0,5.2,115785.28,24.5,0.000212,3500
Interiors,Box,0,54.0,65.5,96.7,342027.9,30.8,9e-05,5000
Interiors,Wrapped,1,126.6,45.8,18.6,107848.01,30.8,0.000286,3500
Painting,Cylindrical,0,27.5,29.3,40.8,32874.6,19.8,0.000602,4500
Interiors,Wrapped,1,121.3,140.7,8.6,146775.43,25.2,0.000172,3500
Solar Services,Box,1,161.6,84.0,8.4,114024.96,18.8,0.000165,3500
Interiors,Wrapped,1,54.1,94.8,6.9,35387.89,34.8,0.000983,3500
Interiors,Wrapped,1,123.4,77.2,6.8,64780.06,33.7,0.00052,3500
Painting,Cylindrical,0,36.3,35.4,39.6,50886.79,25.4,0.000499,4500
Construction,Irregular,0,84.9,70.1,37.2,221395.43,49.3,0.000223,4500
Interiors,Wrapped,1,58.6,114.2,5.1,34129.81,13.5,0.000396,3500
Solar Services,Box,1,212.8,92.9,9.2,181875.9,21.5,0.000118,3500
Interiors,Box,0,105.9,70.4,80.9,603138.62,51.2,8.5e-05,5000
Painting,Cylindrical,0,38.5,30.6,49.5,58315.95,26.1,0.000448,4500
Solar Services,Box,1,161.8,99.1,8.9,142705.98,20.7,0.000145,3500
Painting,Cylindrical,0,24.8,38.7,46.5,44628.84,16.9,0.000379,4500
Interiors,Wrapped,1,78.1,81.2,13.9,88149.91,23.0,0.000261,3500
Painting,Cylindrical,0,28.1,31.8,44.8,40032.38,25.7,0.000642,4500
Interiors,Box,0,126.9,51.7,89.3,585873.19,55.4,9.5e-05,5000
Painting,Cylindrical,0,33.3,31.3,45.0,46903.05,28.4,0.000606,4500
